YEAR;MO;DY;Date;T2M;PRECTOTCORR;QV2M;WS10M
2000;1;1;2000/1/1;12.86;0.0;5.8;4.3
2000;1;2;2000/1/2;12.71;0.0;5.8;2.13
2000;1;3;2000/1/3;13.15;0.0;7.39;2.98
2000;1;4;2000/1/4;13.88;0.0;7.08;2.55
2000;1;5;2000/1/5;13.85;0.0;6.23;1.83
2000;1;6;2000/1/6;12.98;0.0;6.77;3.85
2000;1;7;2000/1/7;12.27;0.0;5.19;2.95
2000;1;8;2000/1/8;12.23;0.0;5.68;3.02
2000;1;9;2000/1/9;13.45;0.83;7.14;2.61
2000;1;10;2000/1/10;12.17;11.44;6.84;4.73
2000;1;11;2000/1/11;11.09;0.0;5.74;4.27
2000;1;12;2000/1/12;11.51;0.0;5.37;3.57
2000;1;13;2000/1/13;12.38;0.69;6.29;4.54
2000;1;14;2000/1/14;11.9;13.96;6.96;5.87
2000;1;15;2000/1/15;11.37;5.76;6.47;5.1
2000;1;16;2000/1/16;12.76;1.28;6.65;3.8
2000;1;17;2000/1/17;14.37;0.01;6.35;3.11
2000;1;18;2000/1/18;13.89;0.0;6.9;3.57
2000;1;19;2000/1/19;14.41;0.0;8.36;2.91
2000;1;20;2000/1/20;12.91;0.0;6.59;3.7
2000;1;21;2000/1/21;12.9;0.0;6.29;2.31
2000;1;22;2000/1/22;13.12;0.0;7.02;2.52
2000;1;23;2000/1/23;12.76;0.0;6.84;2.18
2000;1;24;2000/1/24;12.08;0.0;6.65;2.8
2000;1;25;2000/1/25;12.73;0.0;6.41;3.86
2000;1;26;2000/1/26;14.02;0.59;8.06;4.81
2000;1;27;2000/1/27;14.0;0.0;6.59;2.23
2000;1;28;2000/1/28;14.62;0.0;7.45;2.49
2000;1;29;2000/1/29;14.44;0.0;8.54;3.34
2000;1;30;2000/1/30;15.78;0.0;7.26;3.4
2000;1;31;2000/1/31;17.51;0.0;7.45;4.16
2000;2;1;2000/2/1;17.29;0.0;8.36;2.14
2000;2;2;2000/2/2;16.44;0.0;7.87;3.3
2000;2;3;2000/2/3;15.35;0.0;8.91;2.38
2000;2;4;2000/2/4;16.14;0.0;7.69;1.79
2000;2;5;2000/2/5;15.77;0.0;8.91;2.9
2000;2;6;2000/2/6;14.76;0.0;8.85;2.8
2000;2;7;2000/2/7;14.76;0.0;8.42;2.89
2000;2;8;2000/2/8;14.17;0.0;8.24;3.55
2000;2;9;2000/2/9;14.3;0.0;8.24;3.88
2000;2;10;2000/2/10;14.69;0.0;7.87;3.62
2000;2;11;2000/2/11;14.82;0.0;8.06;2.34
2000;2;12;2000/2/12;14.91;0.0;8.85;3.39
2000;2;13;2000/2/13;14.94;0.0;8.0;4.5
2000;2;14;2000/2/14;14.23;0.0;7.81;2.9
2000;2;15;2000/2/15;15.33;0.0;8.24;2.13
2000;2;16;2000/2/16;15.28;0.0;8.79;2.83
2000;2;17;2000/2/17;14.53;0.0;8.0;3.07
2000;2;18;2000/2/18;15.07;0.0;8.36;2.7
2000;2;19;2000/2/19;15.26;0.0;8.42;2.98
2000;2;20;2000/2/20;15.6;0.0;8.18;2.16
2000;2;21;2000/2/21;15.47;0.0;8.91;2.32
2000;2;22;2000/2/22;15.86;0.0;9.09;3.04
2000;2;23;2000/2/23;15.83;0.0;8.67;3.21
2000;2;24;2000/2/24;17.47;0.0;6.53;3.84
2000;2;25;2000/2/25;17.23;0.02;7.75;4.34
2000;2;26;2000/2/26;17.03;0.0;8.18;3.07
2000;2;27;2000/2/27;15.98;0.0;9.7;3.13
2000;2;28;2000/2/28;16.3;0.06;9.58;2.8
2000;2;29;2000/2/29;15.29;0.07;8.73;2.96
2000;3;1;2000/3/1;15.38;0.04;8.36;3.89
2000;3;2;2000/3/2;15.15;0.0;7.87;2.63
2000;3;3;2000/3/3;16.6;0.0;7.81;1.54
2000;3;4;2000/3/4;17.16;0.0;7.93;2.07
2000;3;5;2000/3/5;18.06;0.0;7.63;1.96
2000;3;6;2000/3/6;19.87;0.0;7.14;3.64
2000;3;7;2000/3/7;21.36;0.03;7.51;3.52
2000;3;8;2000/3/8;21.58;0.01;8.18;3.61
2000;3;9;2000/3/9;21.79;0.01;8.24;3.41
2000;3;10;2000/3/10;21.37;0.0;7.81;3.09
2000;3;11;2000/3/11;18.17;0.0;9.09;2.95
2000;3;12;2000/3/12;16.69;0.0;9.34;2.94
2000;3;13;2000/3/13;16.4;0.0;8.97;3.51
2000;3;14;2000/3/14;16.24;0.0;8.67;3.5
2000;3;15;2000/3/15;17.28;0.0;7.2;8.4
2000;3;16;2000/3/16;17.23;0.0;7.2;5.89
2000;3;17;2000/3/17;16.98;0.0;7.32;2.88
2000;3;18;2000/3/18;16.02;0.01;8.61;3.35
2000;3;19;2000/3/19;16.0;0.0;8.61;2.86
2000;3;20;2000/3/20;16.2;0.0;9.28;2.76
2000;3;21;2000/3/21;15.39;0.01;8.73;3.96
2000;3;22;2000/3/22;15.33;0.31;8.12;5.87
2000;3;23;2000/3/23;15.25;0.2;7.57;4.65
2000;3;24;2000/3/24;15.15;0.08;7.26;4.16
2000;3;25;2000/3/25;15.32;0.0;7.2;4.31
2000;3;26;2000/3/26;15.68;0.01;7.57;5.25
2000;3;27;2000/3/27;16.12;0.0;7.75;4.76
2000;3;28;2000/3/28;15.07;0.0;8.12;3.9
2000;3;29;2000/3/29;14.81;0.0;7.45;2.93
2000;3;30;2000/3/30;15.73;0.0;7.2;2.55
2000;3;31;2000/3/31;16.55;0.0;7.87;3.04
2000;4;1;2000/4/1;16.57;0.0;7.87;3.2
2000;4;2;2000/4/2;16.06;6.98;7.81;10.13
2000;4;3;2000/4/3;13.63;13.51;7.63;9.62
2000;4;4;2000/4/4;14.05;9.61;7.02;9.04
2000;4;5;2000/4/5;15.04;1.25;7.2;4.03
2000;4;6;2000/4/6;16.92;0.0;7.32;3.88
2000;4;7;2000/4/7;19.44;2.17;8.42;4.89
2000;4;8;2000/4/8;17.59;0.64;8.85;6.15
2000;4;9;2000/4/9;16.68;0.26;8.91;8.25
2000;4;10;2000/4/10;16.48;0.84;8.48;6.2
2000;4;11;2000/4/11;15.27;0.22;7.57;4.48
2000;4;12;2000/4/12;15.27;0.01;6.9;3.23
2000;4;13;2000/4/13;16.17;0.01;7.45;4.16
2000;4;14;2000/4/14;16.84;1.33;9.09;7.91
2000;4;15;2000/4/15;18.12;0.16;8.61;7.27
2000;4;16;2000/4/16;16.45;9.52;8.18;9.71
2000;4;17;2000/4/17;16.2;0.07;7.14;4.36
